UUID,Seq ID,Question,"Timestamp with answer","Type (binary, position, time, text)",Text answer,Parsable answer,"Question Category"
5_Local_ev5dyhjd,5,"Where is a lit screen with seats positioned opposite?",1750497951.210554,position,,[position],spatial
5_Local_m6n7o8dt,5,"My friend informed me that he is at the white table near the vending machine and the yellow warning sign. Could you please guide me there to find him?",1750498239.490923,position,,[position],spatial
5_Local_qr3rafr4,5,"Where is the place with a pile of black boxes and a row of reflective rectangular windows?",1750498378.981392,position,,[position],spatial
5_Local_4b768ryy,5,"Where is the parking area near Entrance A2 of Lecture Hall 1?",1750498347.983596,position,,[position],spatial
5_Local_ec34tew4,5,"There is a bulletin board a with screen and a golf cart in front of me. Could you tell me where I am now?",1750497697.027877,position,,[position],spatial
5_Local_v56evvs4,5,"Where can you find some posters in front of the floor-to-ceiling windows?",1750497979.108654,position,,[position],spatial
5_Local_b67btdr3,5,"Where is the only vending machine located in a relatively dimly lit area?",1750497768.323083,position,,[position],spatial
5_Local_x34xx2c3,5,"Where are the colorful stools leaning against the wall and the two white tables pushed together?",1750498239.490923,position,,[position],spatial
5_Local_bu567ett,5,"Where is the restroom at the end of the dimly lit corridor?",1750498267.389010,position,,[position],spatial
5_Local_x3423sw3,5,"I see some electric bikes parked under a staircase and a few outdoor air conditioning units. Where am I currently located?",1750498307.686272,position,,[position],spatial
5_Local_2x3cqx45,5,"Where is the fire cabinet located outside the mailroom?",1750497573.036290,position,,[position],spatial
5_Local_hj675ve4,5,"Where are the tables and chairs, and is there a vending machine nearby?",1750498239.490923,position,,[position],spatial
5_Local_cw5r453s,5,"Where can you see a light shining through a glass door and the view outside?",1750497994.607585,position,,[position],spatial
5_Global_6b5ebvxd,5,"Where is the nearest vending machine to the library?",1750497768.323083,position,,[position],spatial
5_Global_3qrxas3z,5,"Where is the iron trash bin along the way from Starbucks to the College of Life Sciences?",1750497821.019446,position,,[position],spatial
5_Global_v3b65yxd,5,"Where is the nearest place to sit near the Cryo-Electron Microscopy Center?",1750497951.210554,position,,[position],spatial
5_Global_cw45dfty,5,"I am currently located at [-188.90, 95.99, 0.95]. Where along the way to the Cryo-Electron Microscopy Center can I find a stone bench to sit on?",1750497886.115048,position,,[position],spatial
5_Global_qwegfazd,5,"Where is the nearest trash bin to the Subway? I want to throw away my empty drink.",1750498121.698956,position,,[position],spatial
5_Global_23svsawe,5,"I am currently located at [-219.07, 128.05, 2.29]. Where is the nearest restroom?",1750498267.389010,position,,[position],spatial
5_Global_zcfvwe34,5,"I am currently located at [-219.07, 128.05, 2.29]. Where is the nearest vending machine?",1750498233.291339,position,,[position],spatial
5_Global_zxdsga32,5,"Where is the nearest golf cart to the administration building?",1750497644.331464,position,,[position],spatial
5_Global_hrtaZa23,5,"I am currently located at [-32.66, 58.36, 1.13]. Where can I find a white van on my way to the College of Science?",1750497597.834612,position,,[position],spatial
5_Global_78kggty7,5,"Where is the nearest place to go upstairs after shopping at Subway?",1750498149.597069,position,,[position],spatial
5_Global_cdfgyn56,5,"Where is the nearest printer to Lecture Hall 1?",1750498227.091772,position,,[position],spatial
5_Global_w4s5dtrf,5,"Where is the elevator located in the School of Life Sciences building?",1750498016.306116,position,,[position],spatial
5_Global_ffrty444,5,"I am currently located at [-87.56, 79.08, 1.63]. Where can I buy coffee nearby?",1750497755.923873,position,,[position],spatial
5_Global_dszfrger,5,"I am currently located at [-206.23, 113.13, 1.32]. There is a fire here. Where is the nearest fire extinguisher?",1750498267.389010,position,,[position],spatial
5_Global_zdsfbv34,5,"I am currently located at [-179.89, 104.30, 0.94]. Where can I find a photography enthusiast to take a photo of me nearby?",1750497833.418605,position,,[position],spatial



